"","Species","Abundance"
"1","Acanthis flammea",1
"2","Accipiter cooperii",20
"3","Accipiter striatus",1
"4","Acer negundo",4
"5","Agelaius phoeniceus",7
"6","Alliaria petiolata",1
"7","Amblycorypha oblongifolia",1
"8","Anas platyrhynchos",6
"9","Anaxyrus americanus",1
"10","Aphis nerii",2
"11","Apis mellifera",1
"12","Araneus diadematus",1
"13","Ardea alba",2
"14","Ardea herodias",7
"15","Argiope aurantia",1
"16","Argiope trifasciata",1
"17","Aronia melanocarpa",1
"18","Bombus rufocinctus",1
"19","Bombycilla cedrorum",4
"20","Branta canadensis",1
"21","Buteo jamaicensis",13
"22","Buteo lagopus",1
"23","Buteo lineatus",1
"24","Buteo platypterus",2
"25","Cardellina pusilla",1
"26","Cardinalis cardinalis",93
"27","Cathartes aura",7
"28","Catharus guttatus",1
"29","Catharus ustulatus",1
"30","Cepaea nemoralis",1
"31","Chaetura pelagica",5
"32","Charadrius vociferus",1
"33","Chelidonium majus",1
"34","Chordeiles minor",1
"35","Cichorium intybus",1
"36","Cicindela sexguttata",2
"37","Colaptes auratus",15
"38","Coleomegilla maculata",1
"39","Colias philodice",2
"40","Columba livia",18
"41","Coprinopsis variegata",1
"42","Cornus sericea",1
"43","Corvus brachyrhynchos",104
"44","Corvus corax",3
"45","Cyanocitta cristata",8
"46","Dryobates pubescens",121
"47","Dumetella carolinensis",16
"48","Empidonax minimus",2
"49","Equisetum arvense",1
"50","Falco peregrinus",6
"51","Falco sparverius",6
"52","Flammulina velutipes",1
"53","Frangula alnus",1
"54","Haemorhous mexicanus",1
"55","Haemorhous purpureus",1
"56","Harmonia axyridis",1
"57","Hyalophora cecropia",1
"58","Junco hyemalis",70
"59","Larus delawarensis",42
"60","Lathyrus sylvestris",1
"61","Leiothlypis peregrina",4
"62","Leonurus cardiaca",1
"63","Leptinotarsa decemlineata",1
"64","Leuconotopicus villosus",22
"65","Linaria vulgaris",1
"66","Lysimachia nummularia",1
"67","Mareca americana",1
"68","Mareca strepera",1
"69","Marmota monax",1
"70","Melanoplus bivittatus",1
"71","Melilotus albus",1
"72","Melilotus officinalis",1
"73","Melospiza melodia",75
"74","Mniotilta varia",3
"75","Molothrus ater",1
"76","Nymphalis antiopa",1
"77","Passer domesticus",101
"78","Passerella iliaca",1
"79","Passerina cyanea",9
"80","Perdix perdix",1
"81","Phalacrocorax auritus",3
"82","Phalaris arundinacea",1
"83","Phasianus colchicus",1
"84","Phidippus audax",1
"85","Pieris rapae",2
"86","Pipilo erythrophthalmus",2
"87","Piranga olivacea",1
"88","Poecile atricapillus",158
"89","Polyommatus icarus",4
"90","Porcellio scaber",1
"91","Pyrrharctia isabella",1
"92","Quiscalus quiscula",3
"93","Regulus calendula",5
"94","Regulus satrapa",6
"95","Rhamnus cathartica",2
"96","Rubus odoratus",1
"97","Sanguinaria canadensis",4
"98","Saponaria officinalis",1
"99","Sayornis phoebe",6
"100","Sciurus carolinensis",1
"101","Setophaga caerulescens",2
"102","Setophaga castanea",1
"103","Setophaga coronata",14
"104","Setophaga magnolia",1
"105","Setophaga palmarum",2
"106","Setophaga pensylvanica",3
"107","Setophaga petechia",20
"108","Setophaga ruticilla",23
"109","Sitta carolinensis",95
"110","Solidago altissima",1
"111","Spilosoma virginica",1
"112","Spinus pinus",1
"113","Spinus tristis",59
"114","Spizella passerina",13
"115","Spizella pusilla",3
"116","Spizelloides arborea",8
"117","Storeria dekayi",2
"118","Sturnus vulgaris",39
"119","Tachycineta bicolor",3
"120","Thelia bimaculata",1
"121","Trifolium repens",1
"122","Turdus migratorius",51
"123","Vanessa atalanta",1
"124","Viburnum opulus",1
"125","Vireo gilvus",10
"126","Vireo olivaceus",9
"127","Vireo philadelphicus",2
"128","Vireo solitarius",9
"129","Zenaida macroura",1
"130","Zonotrichia albicollis",61
